GroupName;GroupeCode;VerticalMarket;SubVerticalMarket
LECLERC;1;FOOD;SUPERMARKET
INDITEX;2;FASHION;APPAREL
HELLOFRESH;3;FOOD;MEAL_KIT
ZALANDO;4;FASHION;MARKETPLACE
ZOOPLUS;5;RETAIL;PET_SUPPLIES
APPLE;6;TECH;ELECTRONICS
GOUSTO;7;FOOD;MEAL_KIT
MINDFUL_CHEF;8;FOOD;MEAL_KIT
SENDCLOUD;9;LOGISTICS;SHIPPING_PLATFORM
SCREWFIX;10;RETAIL;DIY_HARDWARE
YVES_ROCHER;11;RETAIL;COSMETICS
MAKITA;12;RETAIL;TOOLS
HACHETTE;13;RETAIL;PUBLISHING
CARREFOUR;14;FOOD;SUPERMARKET
SEPHORA;15;RETAIL;COSMETICS
STANHOME;16;RETAIL;HOME_PRODUCTS
CASTORAMA;17;RETAIL;DIY_HARDWARE
LVMH;18;FASHION;LUXURY
GXO;19;LOGISTICS;3PL
NESTLE;20;FOOD;FMCG
CHANEL;21;FASHION;LUXURY
JOHNSON_JOHNSON;22;HEALTHCARE;PHARMA
LEGO;23;RETAIL;TOYS
OTHER;99;OTHER;OTHER
